ga_1dayUsers,ga_date,isDataGolden,view_id
39,2022-12-30,1,219096830
22,2022-12-31,1,219096830
26,2023-01-01,1,219096830
35,2023-01-02,1,219096830
50,2023-01-03,1,219096830
52,2023-01-04,1,219096830
58,2023-01-05,1,219096830
33,2023-01-06,1,219096830
29,2023-01-07,1,219096830
33,2023-01-08,1,219096830
51,2023-01-09,1,219096830
49,2023-01-10,1,219096830
55,2023-01-11,1,219096830
44,2023-01-12,1,219096830
33,2023-01-13,1,219096830
36,2023-01-14,1,219096830
33,2023-01-15,1,219096830
43,2023-01-16,1,219096830
43,2023-01-17,1,219096830
50,2023-01-18,1,219096830
56,2023-01-19,1,219096830
38,2023-01-20,1,219096830
32,2023-01-21,1,219096830
26,2023-01-22,1,219096830
47,2023-01-23,1,219096830
38,2023-01-24,1,219096830
45,2023-01-25,1,219096830
17,2023-01-26,1,219096830
31,2023-01-27,1,219096830
26,2023-01-28,1,219096830
26,2023-01-29,1,219096830
35,2023-01-30,1,219096830
41,2023-01-31,1,219096830
36,2023-02-01,1,219096830
41,2023-02-02,1,219096830
62,2023-02-03,1,219096830
32,2023-02-04,1,219096830
24,2023-02-05,1,219096830
36,2023-02-06,1,219096830
41,2023-02-07,1,219096830
36,2023-02-08,1,219096830
34,2023-02-09,1,219096830
45,2023-02-10,1,219096830
33,2023-02-11,1,219096830
62,2023-02-12,1,219096830
56,2023-02-13,1,219096830
60,2023-02-14,1,219096830
48,2023-02-15,1,219096830
48,2023-02-16,1,219096830
44,2023-02-17,1,219096830
36,2023-02-18,1,219096830
38,2023-02-19,1,219096830
43,2023-02-20,1,219096830
39,2023-02-21,1,219096830
57,2023-02-22,1,219096830
66,2023-02-23,1,219096830
45,2023-02-24,1,219096830
38,2023-02-25,1,219096830
10,2023-02-26,1,219096830
15,2023-02-27,1,219096830
15,2023-02-28,1,219096830
16,2023-03-01,1,219096830
12,2023-03-02,1,219096830
40,2023-03-03,1,219096830
39,2023-03-04,1,219096830
42,2023-03-05,1,219096830
49,2023-03-06,1,219096830
48,2023-03-07,1,219096830
45,2023-03-08,1,219096830
48,2023-03-09,1,219096830
36,2023-03-10,1,219096830
43,2023-03-11,1,219096830
28,2023-03-12,1,219096830
58,2023-03-13,1,219096830
46,2023-03-14,1,219096830
48,2023-03-15,1,219096830
41,2023-03-16,1,219096830
44,2023-03-17,1,219096830
33,2023-03-18,1,219096830
22,2023-03-19,1,219096830
30,2023-03-20,1,219096830
33,2023-03-21,1,219096830
35,2023-03-22,1,219096830
34,2023-03-23,1,219096830
19,2023-03-24,1,219096830
24,2023-03-25,1,219096830
32,2023-03-26,1,219096830
33,2023-03-27,1,219096830
52,2023-03-28,1,219096830
37,2023-03-29,1,219096830
25,2023-03-30,1,219096830
37,2023-03-31,1,219096830
28,2023-04-01,1,219096830
31,2023-04-02,1,219096830
43,2023-04-03,1,219096830
41,2023-04-04,1,219096830
41,2023-04-05,1,219096830
35,2023-04-06,1,219096830
55,2023-04-07,1,219096830
29,2023-04-08,1,219096830
34,2023-04-09,1,219096830
30,2023-04-10,1,219096830
54,2023-04-11,1,219096830
47,2023-04-12,1,219096830
53,2023-04-13,1,219096830
32,2023-04-14,1,219096830
27,2023-04-15,1,219096830
31,2023-04-16,1,219096830
48,2023-04-17,1,219096830
51,2023-04-18,1,219096830
33,2023-04-19,1,219096830
32,2023-04-20,1,219096830
33,2023-04-21,1,219096830
32,2023-04-22,1,219096830
38,2023-04-23,0,219096830
26,2023-04-24,0,219096830
