ga_avgSessionDuration,ga_avgTimeOnPage,ga_bounceRate,ga_city,ga_continent,ga_country,ga_date,ga_exitRate,ga_metro,ga_newUsers,ga_pageviews,ga_pageviewsPerSession,ga_region,ga_sessions,ga_sessionsPerUser,ga_subContinent,ga_users,isDataGolden,view_id
0.0,0.0,100.0,(not set),Americas,Canada,2022-12-30,100.0,(not set),1,1,1.0,Saskatchewan,1,1.0,Northern America,1,True,219096830
0.0,0.0,100.0,(not set),Americas,United States,2022-12-30,100.0,(not set),2,2,1.0,(not set),2,1.0,Northern America,2,True,219096830
0.0,0.0,100.0,Columbus,Americas,United States,2022-12-30,100.0,Columbus OH,8,8,1.0,Ohio,8,1.0,Northern America,8,True,219096830
0.0,0.0,100.0,Delhi,Asia,India,2022-12-30,100.0,(not set),1,1,1.0,Delhi,1,1.0,Southern Asia,1,True,219096830
865.0,865.0,0.0,Nagpur,Asia,India,2022-12-30,50.0,(not set),0,2,2.0,Maharashtra,1,1.0,Southern Asia,1,True,219096830
43.0,43.0,0.0,(not set),Oceania,Australia,2022-12-30,50.0,(not set),1,2,2.0,New South Wales,1,1.0,Australasia,1,True,219096830
8.0,8.0,0.0,Goulburn,Oceania,Australia,2022-12-30,50.0,(not set),0,2,2.0,New South Wales,1,1.0,Australasia,1,True,219096830
112.36,61.10869565217392,24.0,Sydney,Oceania,Australia,2022-12-30,35.2112676056338,(not set),17,71,2.84,New South Wales,25,1.25,Australasia,20,True,219096830
420.0,104.75,0.0,Rockhampton,Oceania,Australia,2022-12-30,20.0,(not set),1,5,5.0,Queensland,1,1.0,Australasia,1,True,219096830
0.0,0.0,100.0,Sunshine Coast,Oceania,Australia,2022-12-30,100.0,(not set),1,1,1.0,Queensland,1,1.0,Australasia,1,True,219096830
0.0,0.0,100.0,(not set),Oceania,Australia,2022-12-30,100.0,(not set),1,1,1.0,Victoria,1,1.0,Australasia,1,True,219096830
0.0,0.0,100.0,Sale,Oceania,Australia,2022-12-30,100.0,(not set),0,1,1.0,Victoria,1,1.0,Australasia,1,True,219096830
0.0,0.0,100.0,(not set),Americas,Canada,2022-12-31,100.0,(not set),1,1,1.0,Ontario,1,1.0,Northern America,1,True,219096830
40.0,40.0,0.0,Lac-Sante,Americas,Canada,2022-12-31,50.0,(not set),1,2,2.0,Quebec,1,1.0,Northern America,1,True,219096830
0.0,0.0,100.0,Los Angeles,Americas,United States,2022-12-31,100.0,Los Angeles CA,1,1,1.0,California,1,1.0,Northern America,1,True,219096830
0.0,0.0,100.0,Plummer,Americas,United States,2022-12-31,100.0,Spokane WA,1,1,1.0,Idaho,1,1.0,Northern America,1,True,219096830
0.0,0.0,100.0,Warm Springs,Americas,United States,2022-12-31,100.0,Portland OR,0,1,1.0,Oregon,1,1.0,Northern America,1,True,219096830
0.0,0.0,100.0,Setagaya City,Asia,Japan,2022-12-31,100.0,JP_KANTO,1,1,1.0,Tokyo,1,1.0,Eastern Asia,1,True,219096830
0.0,0.0,100.0,Ho Chi Minh City,Asia,Vietnam,2022-12-31,100.0,(not set),1,1,1.0,Ho Chi Minh City,1,1.0,Southeast Asia,1,True,219096830
0.0,0.0,100.0,(not set),Oceania,Australia,2022-12-31,100.0,(not set),1,1,1.0,New South Wales,1,1.0,Australasia,1,True,219096830
0.0,0.0,100.0,Central Coast,Oceania,Australia,2022-12-31,100.0,(not set),1,1,1.0,New South Wales,1,1.0,Australasia,1,True,219096830
17.0,17.0,0.0,Newcastle,Oceania,Australia,2022-12-31,50.0,(not set),1,2,2.0,New South Wales,1,1.0,Australasia,1,True,219096830
76.0,18.75,0.0,Parkes,Oceania,Australia,2022-12-31,20.0,(not set),1,5,5.0,New South Wales,1,1.0,Australasia,1,True,219096830
494.0,296.26666666666665,22.22222222222222,Sydney,Oceania,Australia,2022-12-31,37.5,(not set),7,24,2.6666666666666665,New South Wales,9,1.125,Australasia,8,True,219096830
0.0,0.0,100.0,Rockhampton,Oceania,Australia,2022-12-31,100.0,(not set),1,1,1.0,Queensland,1,1.0,Australasia,1,True,219096830
0.0,0.0,100.0,Ballarat,Oceania,Australia,2022-12-31,100.0,(not set),0,1,1.0,Victoria,1,1.0,Australasia,1,True,219096830
0.0,0.0,100.0,Colac,Oceania,Australia,2022-12-31,100.0,(not set),1,1,1.0,Victoria,1,1.0,Australasia,1,True,219096830
18.0,18.0,0.0,Geelong,Oceania,Australia,2022-12-31,50.0,(not set),1,2,2.0,Victoria,1,1.0,Australasia,1,True,219096830
0.0,0.0,100.0,Melbourne,Oceania,Australia,2022-12-31,100.0,(not set),0,1,1.0,Victoria,1,1.0,Australasia,1,True,219096830
11.0,11.0,0.0,Shepparton - Mooroopna,Oceania,Australia,2022-12-31,50.0,(not set),1,2,2.0,Victoria,1,1.0,Australasia,1,True,219096830
0.0,0.0,100.0,Auburn,Americas,United States,2023-01-01,100.0,Nashville TN,1,1,1.0,Kentucky,1,1.0,Northern America,1,True,219096830
4.666666666666667,14.0,66.66666666666666,(not set),Oceania,Australia,2023-01-01,75.0,(not set),3,4,1.3333333333333333,New South Wales,3,1.0,Australasia,3,True,219096830
0.0,0.0,100.0,Armidale,Oceania,Australia,2023-01-01,100.0,(not set),1,1,1.0,New South Wales,1,1.0,Australasia,1,True,219096830
14.0,14.0,0.0,Newcastle,Oceania,Australia,2023-01-01,50.0,(not set),1,2,2.0,New South Wales,1,1.0,Australasia,1,True,219096830
0.0,0.0,100.0,Parkes,Oceania,Australia,2023-01-01,100.0,(not set),1,1,1.0,New South Wales,1,1.0,Australasia,1,True,219096830
26.0,26.0,0.0,Port Macquarie,Oceania,Australia,2023-01-01,50.0,(not set),1,2,2.0,New South Wales,1,1.0,Australasia,1,True,219096830
46.64705882352941,56.57142857142857,52.94117647058824,Sydney,Oceania,Australia,2023-01-01,54.83870967741935,(not set),13,31,1.8235294117647056,New South Wales,17,1.1333333333333333,Australasia,15,True,219096830
8.0,8.0,0.0,Mackay,Oceania,Australia,2023-01-01,50.0,(not set),1,2,2.0,Queensland,1,1.0,Australasia,1,True,219096830
0.0,0.0,100.0,Adelaide,Oceania,Australia,2023-01-01,100.0,(not set),0,1,1.0,South Australia,1,1.0,Australasia,1,True,219096830
0.0,0.0,100.0,(not set),Oceania,Australia,2023-01-01,100.0,(not set),1,1,1.0,Victoria,1,1.0,Australasia,1,True,219096830
0.0,0.0,100.0,Harare,Africa,Zimbabwe,2023-01-02,100.0,(not set),1,1,1.0,Harare Province,1,1.0,Eastern Africa,1,True,219096830
0.0,0.0,100.0,Havana,Americas,United States,2023-01-02,100.0,Tallahassee FL-Thomasville GA,1,1,1.0,Florida,1,1.0,Northern America,1,True,219096830
0.0,0.0,100.0,Atlanta,Americas,United States,2023-01-02,100.0,Atlanta GA,1,1,1.0,Georgia,1,1.0,Northern America,1,True,219096830
112.66666666666669,42.125,33.33333333333333,(not set),Oceania,Australia,2023-01-02,27.27272727272727,(not set),2,11,3.6666666666666665,New South Wales,3,1.5,Australasia,2,True,219096830
27.0,27.0,0.0,Albury,Oceania,Australia,2023-01-02,50.0,(not set),1,2,2.0,New South Wales,1,1.0,Australasia,1,True,219096830
0.0,0.0,100.0,Lismore,Oceania,Australia,2023-01-02,100.0,(not set),1,1,1.0,New South Wales,1,1.0,Australasia,1,True,219096830
10.0,10.0,0.0,Newcastle,Oceania,Australia,2023-01-02,50.0,(not set),0,2,2.0,New South Wales,1,1.0,Australasia,1,True,219096830
103.76190476190476,90.79166666666669,52.38095238095239,Sydney,Oceania,Australia,2023-01-02,46.66666666666666,(not set),16,45,2.142857142857143,New South Wales,21,1.105263157894737,Australasia,19,True,219096830
54.0,26.5,0.0,Cairns,Oceania,Australia,2023-01-02,33.33333333333333,(not set),1,3,3.0,Queensland,1,1.0,Australasia,1,True,219096830
0.0,0.0,100.0,Gold Coast,Oceania,Australia,2023-01-02,100.0,(not set),1,1,1.0,Queensland,1,1.0,Australasia,1,True,219096830
35.0,18.0,0.0,Rockhampton,Oceania,Australia,2023-01-02,33.33333333333333,(not set),1,3,3.0,Queensland,1,1.0,Australasia,1,True,219096830
177.0,88.5,0.0,Sunshine Coast,Oceania,Australia,2023-01-02,33.33333333333333,(not set),1,3,3.0,Queensland,1,1.0,Australasia,1,True,219096830
0.0,0.0,100.0,Adelaide,Oceania,Australia,2023-01-02,100.0,(not set),0,1,1.0,South Australia,1,1.0,Australasia,1,True,219096830
100.0,20.0,0.0,Burnie - Somerset,Oceania,Australia,2023-01-02,16.666666666666664,(not set),1,6,6.0,Tasmania,1,1.0,Australasia,1,True,219096830
29.0,29.0,0.0,(not set),Oceania,Australia,2023-01-02,50.0,(not set),1,2,2.0,Victoria,1,1.0,Australasia,1,True,219096830
35.0,35.0,0.0,Melbourne,Oceania,Australia,2023-01-02,50.0,(not set),1,2,2.0,Victoria,1,1.0,Australasia,1,True,219096830
25.0,25.0,0.0,Mildura,Oceania,Australia,2023-01-02,50.0,(not set),1,2,2.0,Victoria,1,1.0,Australasia,1,True,219096830
105.0,26.25,0.0,Perth,Oceania,Australia,2023-01-02,20.0,(not set),1,5,5.0,Western Australia,1,1.0,Australasia,1,True,219096830
0.0,0.0,100.0,Abuja,Africa,Nigeria,2023-01-03,100.0,(not set),1,1,1.0,Federal Capital Territory,1,1.0,Western Africa,1,True,219096830
0.0,0.0,100.0,(not set),Asia,Japan,2023-01-03,100.0,(not set),1,1,1.0,Tokyo,1,1.0,Eastern Asia,1,True,219096830
26.6,53.4,80.0,Nagpur,Asia,India,2023-01-03,66.66666666666666,(not set),7,15,1.5,Maharashtra,10,1.1111111111111112,Southern Asia,9,True,219096830
54.0,54.0,0.0,Kolkata,Asia,India,2023-01-03,50.0,(not set),1,2,2.0,West Bengal,1,1.0,Southern Asia,1,True,219096830
0.0,0.0,100.0,(not set),Europe,United Kingdom,2023-01-03,100.0,(not set),1,1,1.0,Scotland,1,1.0,Northern Europe,1,True,219096830
0.0,0.0,100.0,Sankt Ingbert,Europe,Germany,2023-01-03,100.0,(not set),1,1,1.0,Saarland,1,1.0,Western Europe,1,True,219096830
50.66666666666666,50.333333333333336,33.33333333333333,(not set),Oceania,Australia,2023-01-03,50.0,(not set),2,6,2.0,New South Wales,3,1.0,Australasia,3,True,219096830
9.5,9.5,50.0,Albury,Oceania,Australia,2023-01-03,50.0,(not set),2,4,2.0,New South Wales,2,1.0,Australasia,2,True,219096830
12.0,12.0,0.0,Central Coast,Oceania,Australia,2023-01-03,50.0,(not set),1,2,2.0,New South Wales,1,1.0,Australasia,1,True,219096830
234.0,234.0,50.0,Forbes,Oceania,Australia,2023-01-03,50.0,(not set),0,4,2.0,New South Wales,2,2.0,Australasia,1,True,219096830
0.0,0.0,100.0,Maitland,Oceania,Australia,2023-01-03,100.0,(not set),1,1,1.0,New South Wales,1,1.0,Australasia,1,True,219096830
83.85714285714286,81.0,46.42857142857143,Sydney,Oceania,Australia,2023-01-03,49.122807017543856,(not set),22,57,2.0357142857142856,New South Wales,28,1.1666666666666667,Australasia,24,True,219096830
1000.0,50.05,0.0,Brisbane,Oceania,Australia,2023-01-03,4.761904761904762,(not set),1,21,21.0,Queensland,1,1.0,Australasia,1,True,219096830
0.0,0.0,100.0,Sunshine Coast,Oceania,Australia,2023-01-03,100.0,(not set),1,1,1.0,Queensland,1,1.0,Australasia,1,True,219096830
0.0,0.0,100.0,(not set),Oceania,Australia,2023-01-03,100.0,(not set),0,1,1.0,South Australia,1,1.0,Australasia,1,True,219096830
623.6666666666666,311.8333333333333,0.0,Melbourne,Oceania,Australia,2023-01-03,33.33333333333333,(not set),3,9,3.0,Victoria,3,1.0,Australasia,3,True,219096830
0.0,0.0,100.0,Perth,Oceania,Australia,2023-01-03,100.0,(not set),1,1,1.0,Western Australia,1,1.0,Australasia,1,True,219096830
0.0,0.0,100.0,(not set),(not set),(not set),2023-01-04,100.0,(not set),2,2,1.0,(not set),2,1.0,(not set),2,True,219096830
0.0,0.0,100.0,Lagos,Africa,Nigeria,2023-01-04,100.0,(not set),3,3,1.0,Lagos,3,1.0,Western Africa,3,True,219096830
0.0,0.0,100.0,Guatemala City,Americas,Guatemala,2023-01-04,100.0,(not set),1,1,1.0,Guatemala Department,1,1.0,Central America,1,True,219096830
1002.0,125.125,0.0,(not set),Americas,United States,2023-01-04,11.11111111111111,(not set),1,9,9.0,(not set),1,1.0,Northern America,1,True,219096830
0.0,0.0,100.0,Maumelle,Americas,United States,2023-01-04,100.0,Little Rock-Pine Bluff AR,1,1,1.0,Arkansas,1,1.0,Northern America,1,True,219096830
0.0,0.0,100.0,Las Vegas,Americas,United States,2023-01-04,100.0,Las Vegas NV,1,1,1.0,Nevada,1,1.0,Northern America,1,True,219096830
0.0,0.0,100.0,Pleasant Grove,Americas,United States,2023-01-04,100.0,Salt Lake City UT,1,1,1.0,Utah,1,1.0,Northern America,1,True,219096830
0.0,0.0,100.0,Saiki,Asia,Japan,2023-01-04,100.0,JP_OTHER,1,1,1.0,Oita,1,1.0,Eastern Asia,1,True,219096830
0.0,0.0,100.0,Kakegawa,Asia,Japan,2023-01-04,100.0,JP_OTHER,1,1,1.0,Shizuoka,1,1.0,Eastern Asia,1,True,219096830
0.0,0.0,100.0,Oyama,Asia,Japan,2023-01-04,100.0,JP_KANTO,1,1,1.0,Tochigi,1,1.0,Eastern Asia,1,True,219096830
0.0,0.0,100.0,(not set),Asia,Japan,2023-01-04,100.0,(not set),1,1,1.0,Tokyo,1,1.0,Eastern Asia,1,True,219096830
0.0,0.0,100.0,Mumbai,Asia,India,2023-01-04,100.0,(not set),1,1,1.0,Maharashtra,1,1.0,Southern Asia,1,True,219096830
110.33333333333331,83.0,0.0,Nagpur,Asia,India,2023-01-04,42.85714285714285,(not set),0,7,2.333333333333333,Maharashtra,3,1.5,Southern Asia,2,True,219096830
38.0,13.0,0.0,Pune,Asia,India,2023-01-04,25.0,(not set),0,4,4.0,Maharashtra,1,1.0,Southern Asia,1,True,219096830
0.0,0.0,100.0,Madurai,Asia,India,2023-01-04,100.0,(not set),1,1,1.0,Tamil Nadu,1,1.0,Southern Asia,1,True,219096830
0.0,0.0,100.0,Oslo Municipality,Europe,Norway,2023-01-04,100.0,(not set),1,1,1.0,Oslo,1,1.0,Northern Europe,1,True,219096830
0.0,0.0,100.0,Birmingham,Europe,United Kingdom,2023-01-04,100.0,Midlands,1,1,1.0,England,1,1.0,Northern Europe,1,True,219096830
118.33333333333331,71.0,33.33333333333333,(not set),Oceania,Australia,2023-01-04,37.5,(not set),3,8,2.6666666666666665,New South Wales,3,1.0,Australasia,3,True,219096830
52.0,26.0,0.0,Albury,Oceania,Australia,2023-01-04,33.33333333333333,(not set),1,3,3.0,New South Wales,1,1.0,Australasia,1,True,219096830
32.0,10.666666666666666,0.0,Central Coast,Oceania,Australia,2023-01-04,25.0,(not set),1,4,4.0,New South Wales,1,1.0,Australasia,1,True,219096830
0.0,0.0,100.0,Forbes,Oceania,Australia,2023-01-04,100.0,(not set),0,1,1.0,New South Wales,1,1.0,Australasia,1,True,219096830
44.0,14.333333333333334,0.0,Newcastle,Oceania,Australia,2023-01-04,25.0,(not set),0,4,4.0,New South Wales,1,1.0,Australasia,1,True,219096830
