ga_avgTimeOnPage,ga_bounceRate,ga_date,ga_entranceRate,ga_entrances,ga_exitRate,ga_exits,ga_hostname,ga_pagePath,ga_pageviews,ga_uniquePageviews,isDataGolden,view_id
105.56521739130434,29.629629629629623,2022-12-30,77.14285714285715,27,34.285714285714285,12,www.rousehillsmilesdentalcare.com.au,/,35,28,True,219096830
0.0,100.0,2022-12-30,100.0,1,100.0,1,www.rousehillsmilesdentalcare.com.au,/about-us/,1,1,True,219096830
0.0,100.0,2022-12-30,100.0,1,100.0,1,www.rousehillsmilesdentalcare.com.au,/blog/,1,1,True,219096830
0.0,100.0,2022-12-30,100.0,1,100.0,1,www.rousehillsmilesdentalcare.com.au,/blog/mononucleosis-the-kissing-disease/,1,1,True,219096830
0.0,100.0,2022-12-30,100.0,1,100.0,1,www.rousehillsmilesdentalcare.com.au,/cart/,1,1,True,219096830
0.0,0.0,2022-12-30,0.0,0,100.0,1,www.rousehillsmilesdentalcare.com.au,/children-dentist-rouse-hill/,1,1,True,219096830
55.333333333333336,33.33333333333333,2022-12-30,21.428571428571427,3,35.714285714285715,5,www.rousehillsmilesdentalcare.com.au,/contact-us/,14,7,True,219096830
0.0,0.0,2022-12-30,0.0,0,100.0,1,www.rousehillsmilesdentalcare.com.au,/dental-implants-rouse-hill/,1,1,True,219096830
0.0,0.0,2022-12-30,0.0,0,100.0,1,www.rousehillsmilesdentalcare.com.au,/dental-veneers-rouse-hill/,1,1,True,219096830
1.0,50.0,2022-12-30,100.0,2,50.0,1,www.rousehillsmilesdentalcare.com.au,/dr-teena-bali/,2,2,True,219096830
9.0,0.0,2022-12-30,0.0,0,0.0,0,www.rousehillsmilesdentalcare.com.au,/exams-and-cleanings/,1,1,True,219096830
0.0,100.0,2022-12-30,100.0,1,100.0,1,www.rousehillsmilesdentalcare.com.au,/faq/,1,1,True,219096830
402.0,0.0,2022-12-30,0.0,0,83.33333333333334,5,www.rousehillsmilesdentalcare.com.au,/hotdocs/,6,5,True,219096830
0.0,100.0,2022-12-30,100.0,2,100.0,2,www.rousehillsmilesdentalcare.com.au,/my-account/,2,2,True,219096830
40.0,0.0,2022-12-30,0.0,0,0.0,0,www.rousehillsmilesdentalcare.com.au,/new-patients/,3,3,True,219096830
67.66666666666667,0.0,2022-12-30,0.0,0,25.0,1,www.rousehillsmilesdentalcare.com.au,/our-team/,4,4,True,219096830
128.5,100.0,2022-12-30,50.0,2,50.0,2,www.rousehillsmilesdentalcare.com.au,/privacy-policy-2/,4,4,True,219096830
20.0,0.0,2022-12-30,0.0,0,0.0,0,www.rousehillsmilesdentalcare.com.au,/root-canal-rouse-hill/,1,1,True,219096830
13.5,0.0,2022-12-30,20.0,1,20.0,1,www.rousehillsmilesdentalcare.com.au,/service/,5,5,True,219096830
